Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
"academy-kurs-yoga-grundlagen","Yoga Grundlagen – Atem, Haltung, Ruhe","<p>Ein ruhiger Einstieg ins Yoga: stabile Haltungen, bewusster Atem und kleine Sequenzen, die in jeden Morgen passen. Ohne Leistungsdruck, ohne Verbiegen.</p><h3>Module</h3><ul><li><strong>Ankommen im Körper</strong> — Wie du stehst, sitzt und liegst, bevor irgendeine Übung beginnt.</li><li><strong>Der Atem führt</strong> — Atem als Taktgeber für Bewegung und Stille.</li><li><strong>Deine erste Sequenz</strong> — Zwölf Haltungen, die zusammen einen Morgenfluss ergeben.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Bewegung & Energie","FALSE","Title","Default Title","K001","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789393491-OaBYsr/yoga-grundlagen-kurs.jpg","1","draft"
"academy-kurs-atemarbeit","Atemarbeit – Die Kraft des Atems","<p>Atemtechniken aus Qi-Gong, Yoga und moderner Atemforschung: zum Beruhigen, zum Wachwerden und zum Loslassen.</p><h3>Module</h3><ul><li><strong>Wie Atmen wirkt</strong> — Was im Körper passiert, wenn sich der Atem verändert.</li><li><strong>Beruhigende Techniken</strong> — Verlängertes Ausatmen, Box-Atmung, Qi-Atem.</li><li><strong>Aktivierende Techniken</strong> — Kraftvolle Atemzyklen — mit klaren Sicherheitsregeln.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Bewegung & Energie","FALSE","Title","Default Title","K002","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394229-1KE8Zn/atemarbeit-kurs.jpg","1","draft"
"academy-kurs-ruecken-befreien","Rücken befreien – Wirbelsäule in Bewegung","<p>Sanfte Übungen aus Zhineng Qi-Gong und Faszienarbeit für einen beweglichen, aufgerichteten Rücken im Alltag.</p><h3>Module</h3><ul><li><strong>Die Wirbelsäule verstehen</strong> — Aufbau, Bewegungsrichtungen und warum sie Bewegung braucht.</li><li><strong>Lösen und Mobilisieren</strong> — Wellenbewegungen, Drehungen, sanftes Dehnen.</li><li><strong>Rücken im Alltag</strong> — Sitzen, Heben, Schlafen — kleine Veränderungen mit großer Wirkung.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Bewegung & Energie","FALSE","Title","Default Title","K003","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394417-WKiIpI/ruecken-befreien-kurs.jpg","1","draft"
"academy-kurs-holistic-pulsing","Holistic Pulsing – Heilsame Berührung","<p>Rhythmische, sanfte Körperarbeit, die tiefe Entspannung ermöglicht. Grundlagen für die Anwendung in Familie und Freundeskreis.</p><h3>Module</h3><ul><li><strong>Das Prinzip des Wiegens</strong> — Rhythmus, Wasser im Körper und die Kunst des Nichttuns.</li><li><strong>Die Hände lernen</strong> — Kontakt, Druck, Rhythmus und Präsenz.</li><li><strong>Eine Behandlung geben</strong> — Ablauf, Raum, Nachruhe und Rückmeldung.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Bewegung & Energie","FALSE","Title","Default Title","K004","continue","manual","80.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394381-Teacbn/holistic-pulsing-kurs.jpg","1","draft"
"academy-kurs-massage-energiepraxis","Massage & Energiepraxis","<p>Klassische Griffe, Akupressurpunkte und energetisches Arbeiten — verbunden zu einer achtsamen Massage für den Hausgebrauch.</p><h3>Module</h3><ul><li><strong>Grundgriffe</strong> — Streichen, Kneten, Reiben — sauber ausgeführt.</li><li><strong>Punkte und Bahnen</strong> — Ausgewählte Akupressurpunkte aus der chinesischen Tradition.</li><li><strong>Die ganze Behandlung</strong> — Vom Nacken bis zu den Füßen in dreißig Minuten.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Bewegung & Energie","FALSE","Title","Default Title","K005","continue","manual","80.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394393-hhi7DO/massage-energiepraxis-kurs.jpg","1","draft"
"academy-kurs-meditation-lernen","Meditation lernen – Der Weg nach innen","<p>Schritt für Schritt meditieren lernen: sitzen, wahrnehmen, loslassen. Die Grundlage für alle Meditationen der Academy.</p><h3>Module</h3><ul><li><strong>Sitzen</strong> — Eine Haltung finden, die trägt.</li><li><strong>Wahrnehmen</strong> — Atem, Körper, Geräusche, Gedanken.</li><li><strong>Im Alltag bleiben</strong> — Meditation, die nicht auf dem Kissen endet.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Bewegung & Energie","FALSE","Title","Default Title","K006","continue","manual","50.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394395-iDrUXM/meditation-lernen-kurs.jpg","1","draft"
"academy-kurs-kung-fu","Kung Fu Grundlagen","<p>Stände, Schritte und Grundtechniken des traditionellen Kung Fu — als Weg zu Kraft, Haltung und innerer Ruhe.</p><h3>Module</h3><ul><li><strong>Die Stände</strong> — Pferdestand, Bogenstand, Katzenstand.</li><li><strong>Hände und Füße</strong> — Fauststöße, Blöcke, Tritte in sauberer Form.</li><li><strong>Die erste Form</strong> — Bewegungen verbinden sich zu einer Abfolge.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kampfkunst","FALSE","Title","Default Title","K007","continue","manual","70.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394390-eLGAWh/kung-fu-kurs.jpg","1","draft"
"academy-kurs-batto-jutsu","Enshin Itto Ryu Batto Jutsu – Der Weg des Schwertes","<p>Die Kunst des Schwertziehens: Etikette, Haltung und die ersten Formen. Ein Weg zu Konzentration und Klarheit.</p><h3>Module</h3><ul><li><strong>Reigi – die Etikette</strong> — Respekt vor Schwert, Raum und Gegenüber.</li><li><strong>Das Schwert kennen</strong> — Aufbau, Handhabung, Sicherheit.</li><li><strong>Die ersten Kata</strong> — Ziehen, Schneiden, Reinigen, Zurückführen.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kampfkunst","FALSE","Title","Default Title","K008","continue","manual","90.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394236-g94e1s/batto-jutsu-kurs.jpg","1","draft"
"academy-kurs-selbstverteidigung","Selbstverteidigung im Alltag","<p>Grenzen erkennen, Konflikte entschärfen, sich im Ernstfall befreien. Für alle, unabhängig von Alter und Kraft.</p><h3>Module</h3><ul><li><strong>Bevor es passiert</strong> — Wahrnehmung, Körpersprache, Abstand.</li><li><strong>Die Stimme und die Grenze</strong> — Klar sprechen, laut werden, Hilfe holen.</li><li><strong>Befreiungen</strong> — Einfache Techniken gegen Griffe.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kampfkunst","FALSE","Title","Default Title","K009","continue","manual","60.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394424-hvB8KU/selbstverteidigung-kurs.jpg","1","draft"
"academy-kurs-ninjutsu-vertiefung","Ninjutsu – Taijutsu und die Kunst der Anpassung","<p>Aufbauend auf „Die Kunst des Kämpfens"": fließende Körperbewegung, Distanz und Timing im Bujinkan Ninjutsu.</p><h3>Module</h3><ul><li><strong>Taijutsu</strong> — Der Körper als Ganzes bewegt sich.</li><li><strong>Distanz und Timing</strong> — Ma-ai — der richtige Abstand zur richtigen Zeit.</li><li><strong>Anpassung</strong> — Nicht gegen die Kraft, sondern mit ihr.</li></ul><p>Zugang zur Lebenskunst Academy auf Lebenszeit. Auch enthalten in der Kursbibliothek-Mitgliedschaft (88 €/Monat).</p>","YOU ARE NEO","Academy-Kurs","academy, kurs, Kampfkunst","FALSE","Title","Default Title","K010","continue","manual","80.00","FALSE","FALSE","https://fvd-data.s3.amazonaws.com/academy/3708781/1789394406-tVLEqx/ninjutsu-vertiefung-kurs.jpg","1","draft"
